Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Sphingolipid signaling pathway,9/119,0.4585896779213746,0.8652058590116601,0,0,1.0842228739002933,0.8452595199733152,MAPK10;PRKCB;PPP2R2B;ADORA3;SMPD1;BCL2;FCER1A;PPP2R3A;GNAI1
KEGG_2021_Human,JAK-STAT signaling pathway,12/162,0.4668335042585442,0.8743744028230225,0,0,1.0601149425287355,0.8075771244405352,SOCS2;GHR;CNTFR;IL11RA;LEP;FHL1;BCL2;AOX1;LIFR;IL6ST;SOCS6;IL6R
KEGG_2021_Human,Cysteine and methionine metabolism,4/50,0.4696286545197859,0.8743744028230225,0,0,1.1521739130434785,0.8708280140603523,AHCYL2;TST;BHMT2;CDO1
KEGG_2021_Human,Parkinson disease,18/249,0.4839832820596951,0.8893978494993098,0,0,1.0324956428852532,0.7492871617884443,MAOB;TUBAL3;MAOA;ITPR1;COX7A1;RYR3;GNAI1;ADCY5;MAPK10;UCHL1;TUBB2B;TUBB6;PINK1;TUBA1A;KIF5A;CALM1;PRKACB;SNCA
KEGG_2021_Human,Salmonella infection,18/249,0.4839832820596951,0.8893978494993098,0,0,1.0324956428852532,0.7492871617884443,AHNAK;ARHGEF26;TUBAL3;MAPK10;FYCO1;TUBB2B;TUBB6;CASP7;TUBA1A;CASP5;KIF5A;BCL2;FLNA;FLNC;MYL9;RILP;DYNC1I1;RAB9B
KEGG_2021_Human,TGF-beta signaling pathway,7/94,0.4925719420198458,0.8993410296233315,0,0,1.0660199606710603,0.7548644620718755,GREM2;CDKN2B;BMP2;ACVR1C;DCN;RGMA;BMP5
KEGG_2021_Human,Vitamin digestion and absorption,2/24,0.5099288914050976,0.9250633094079654,0,0,1.2043833484632342,0.8111329049423563,TCN2;SLC23A1
KEGG_2021_Human,Alcoholism,13/186,0.5479265980061968,0.987663867743654,0,0,0.9952460699043812,0.5987539156047326,MAOB;MAOA;HDAC9;GNAI1;ADCY5;GNAO1;GNG3;GNG2;CREB3L3;GNG7;NPY;CALM1;PRKACB
KEGG_2021_Human,Pyrimidine metabolism,4/56,0.5599743357897586,0.9999951623506846,0,0,1.018901098901099,0.5908243982107488,CDA;ENTPD3;ENTPD5;ENTPD8
KEGG_2021_Human,Adherens junction,5/71,0.5633532454577358,0.9999951623506846,0,0,1.0034223579613144,0.5758123280775798,CTNNA3;CTNNA2;SORBS1;VCL;FGFR1
KEGG_2021_Human,Melanoma,5/72,0.5760024123118335,0.9999951623506846,0,0,0.9883925618512156,0.5452402632567858,PDGFD;MITF;FGF2;FGF10;FGFR1
KEGG_2021_Human,Inositol phosphate metabolism,5/73,0.5884554056924507,0.9999951623506846,0,0,0.9738048185678846,0.5163640281999656,ITPKA;PLCE1;PLCD3;PLCD4;PLCD1
KEGG_2021_Human,Hippo signaling pathway,11/163,0.5984375510555194,0.9999951623506846,0,0,0.9581932217478368,0.491968118021656,WWTR1;BMP2;WNT5B;DCHS2;PPP2R2B;CTNNA3;FAT4;WNT9A;CTNNA2;FRMD1;BMP5
KEGG_2021_Human,Viral myocarditis,4/60,0.6153046549642373,0.9999951623506846,0,0,0.9459183673469388,0.4593736769734314,SGCD;SGCA;CAV1;DMD
KEGG_2021_Human,Pertussis,5/76,0.6245721102185067,0.9999951623506846,0,0,0.9325071227939474,0.438920367078364,MAPK10;CASP7;CFL2;CALM1;GNAI1
KEGG_2021_Human,Glycerolipid metabolism,4/61,0.6284399847818379,0.9999951623506846,0,0,0.9292731829573936,0.431661095726926,PNLIPRP2;AKR1B10;MOGAT2;MGLL
KEGG_2021_Human,Pathogenic Escherichia coli infection,13/197,0.6322119274363834,0.9999951623506846,0,0,0.9351889475822835,0.4288127612402914,TUBAL3;LPAR1;CLDN11;MAPK10;CLDN5;TUBB2B;TUBB6;CASP7;TUBA1A;MYO1A;CLDN8;CLDN23;MYH11
KEGG_2021_Human,Human immunodeficiency virus 1 infection,14/212,0.6331190785115062,0.9999951623506846,0,0,0.9358767531429402,0.4277862286431652,PRKCB;ITPR1;GNAI1;GNAO1;MAPK10;GNG3;GNG2;CFL2;GNA11;GNG7;AP1S2;BCL2;PTK2B;CALM1
KEGG_2021_Human,Prion disease,18/273,0.6437156120034062,0.9999951623506846,0,0,0.934097275273746,0.4114682119849059,RYR2;NCF1;TUBAL3;CAV1;ITPR1;HSPA2;COX7A1;RYR3;MAPK10;TUBB2B;TUBB6;C8G;TUBA1A;CREB3L3;C7;KIF5A;NCAM1;PRKACB
KEGG_2021_Human,Synaptic vesicle cycle,5/78,0.647561437718619,0.9999951623506846,0,0,0.906861065144379,0.3940688631245646,SNAP25;SLC6A7;SYT1;SLC1A1;SLC17A8
KEGG_2021_Human,Thiamine metabolism,1/15,0.6645158790035202,0.9999951623506846,0,0,0.9460340087567456,0.3866407929394276,ALPI
KEGG_2021_Human,Diabetic cardiomyopathy,13/203,0.6746484581082223,0.9999951623506846,0,0,0.905361534677816,0.3563172784150799,RYR2;NCF1;PRKCB;CMA1;ATP2A3;SLC2A4;COX7A1;MAPK10;PLN;CPT2;PDK4;AGTR1;CD36
KEGG_2021_Human,Sphingolipid metabolism,3/49,0.6781403003616571,0.9999951623506846,0,0,0.8635136393259473,0.3353896299038843,SMPD3;NEU4;SMPD1
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,6/97,0.683762697366575,0.9999951623506846,0,0,0.8727538555864736,0.3317724517060628,SCIN;GSN;NCF1;PRKCB;CFL2;ASAP3
KEGG_2021_Human,Transcriptional misregulation in cancer,12/192,0.7031254703839223,0.9999951623506846,0,0,0.881992337164751,0.3106552744931602,MEF2C;MEIS1;ZEB1;HPGD;IL1R2;ZBTB16;FEV;TSPAN7;TMPRSS2;MITF;RXRG;PBX1
KEGG_2021_Human,FoxO signaling pathway,8/131,0.7083481363154072,0.9999951623506846,0,0,0.8606704405152934,0.2967760268593024,MAPK10;CDKN2B;PRKAA2;SLC2A4;PCK1;FBXO32;SGK1;SGK2
KEGG_2021_Human,Selenocompound metabolism,1/17,0.7099983579918907,0.9999951623506846,0,0,0.8276906628652887,0.2834779450291395,PAPSS2
KEGG_2021_Human,Progesterone-mediated oocyte maturation,6/100,0.7118223844751679,0.9999951623506846,0,0,0.8447630353392385,0.2871576449464391,MAPK10;CPEB1;ADCY9;PRKACB;GNAI1;ADCY5
KEGG_2021_Human,Mitophagy,4/68,0.7120831438006838,0.9999951623506846,0,0,0.8273214285714285,0.2809257601713162,MAPK10;PINK1;CITED2;MITF
KEGG_2021_Human,Phospholipase D signaling pathway,9/148,0.7192427821696197,0.9999951623506846,0,0,0.8566720816894872,0.2823216916795514,ADCY9;PDGFD;KIT;AGTR1;LPAR1;GAB1;FCER1A;PTK2B;ADCY5
KEGG_2021_Human,Taste transduction,5/86,0.7302596906658103,0.9999951623506846,0,0,0.816941554373053,0.2568097174376991,SCNN1G;SCNN1B;SCN9A;P2RY1;PRKACB
KEGG_2021_Human,Fatty acid biosynthesis,1/18,0.7303736960879066,0.9999951623506846,0,0,0.7789610498511593,0.2447487543711716,ACACB
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,4/70,0.7332699620247092,0.9999951623506846,0,0,0.8021645021645022,0.248864596035067,MAPK10;PTPRZ1;JAM2;JAM3
KEGG_2021_Human,Prolactin signaling pathway,4/70,0.7332699620247092,0.9999951623506846,0,0,0.8021645021645022,0.248864596035067,SOCS2;MAPK10;TNFRSF11A;SOCS6
KEGG_2021_Human,African trypanosomiasis,2/37,0.7435619803662074,0.9999951623506846,0,0,0.7565111065824333,0.2241566266055545,PRKCB;F2RL1
KEGG_2021_Human,Glycosaminoglycan degradation,1/19,0.749318414222876,0.9999951623506846,0,0,0.7356458382830443,0.212300964297816,HPSE2
KEGG_2021_Human,Legionellosis,3/57,0.7731084135015021,0.9999951623506846,0,0,0.7352684590371956,0.1892110367511681,CASP7;EEF1A2;HSPA2
KEGG_2021_Human,Small cell lung cancer,5/92,0.7823921427881178,0.9999951623506846,0,0,0.760354276042822,0.1865903331565825,CDKN2B;LAMA3;COL4A6;BCL2;RXRG
KEGG_2021_Human,Apoptosis,8/142,0.7876649614275828,0.9999951623506846,0,0,0.7895479621947569,0.1884512462651793,MAPK10;CASP7;TUBA1A;TUBAL3;CAPN2;ITPR1;BCL2;CTSF
KEGG_2021_Human,Ferroptosis,2/41,0.7931562699196394,0.9999951623506846,0,0,0.6787739127254105,0.1572956828959457,TF;CP
KEGG_2021_Human,Osteoclast differentiation,7/127,0.7961577965700779,0.9999951623506846,0,0,0.7714865187306132,0.1758664280852934,MAPK10;NCF1;ITGB3;BTK;MITF;TNFRSF11A;LILRB5
KEGG_2021_Human,Arginine biosynthesis,1/22,0.7985379668810911,0.9999951623506846,0,0,0.6304517530461935,0.1418344738953026,GPT
KEGG_2021_Human,Toxoplasmosis,6/112,0.8065735224431272,0.9999951623506846,0,0,0.7486436148676007,0.1609285985583073,GNAO1;MAPK10;LAMA3;BCL2;HSPA2;GNAI1
KEGG_2021_Human,Glycerophospholipid metabolism,5/98,0.8263728107942596,0.9999951623506846,0,0,0.7110685820132661,0.1356073648622017,PLA2G2D;PNPLA7;PLA2G10;PLA2G5;GPD1L
KEGG_2021_Human,Coronavirus disease,13/232,0.8361805245445947,0.9999951623506846,0,0,0.7842359066274058,0.1403082348263367,CFD;PRKCB;RPL10L;TMPRSS2;F13A1;MAPK10;C8G;C7;AGTR1;MASP1;IL6ST;IL6R;TLR3
KEGG_2021_Human,Hepatocellular carcinoma,9/168,0.8416746961083461,0.9999951623506846,0,0,0.7481030635017245,0.1289443053685042,GSTM3;GSTM2;WNT5B;PRKCB;GSTA1;GAB1;DPF3;WNT9A;GSTM5
KEGG_2021_Human,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1/26,0.8494786022842007,0.9999951623506846,0,0,0.5294654312188168,0.0863730336413617,PIGZ
KEGG_2021_Human,Maturity onset diabetes of the young,1/26,0.8494786022842007,0.9999951623506846,0,0,0.5294654312188168,0.0863730336413617,NR5A2
KEGG_2021_Human,Chagas disease,5/102,0.8514791335342647,0.9999951623506846,0,0,0.6815987855832222,0.1095876468093842,GNAO1;MAPK10;PPP2R2B;GNA11;GNAI1
KEGG_2021_Human,Other types of O-glycan biosynthesis,2/47,0.851664172447421,0.9999951623506846,0,0,0.5880805198922174,0.0944239687810813,GALNT16;GALNT15
KEGG_2021_Human,Glycolysis / Gluconeogenesis,3/67,0.858190504581756,0.9999951623506846,0,0,0.6200481798715204,0.0948234540210708,ADH1C;ADH1B;PCK1
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,2/48,0.859805633617301,0.9999951623506846,0,0,0.575265149165788,0.0868931810482623,UGDH;UGP2
KEGG_2021_Human,Collecting duct acid secretion,1/27,0.860058841486936,0.9999951623506846,0,0,0.5090739623882888,0.0767451762771994,CA2
KEGG_2021_Human,C-type lectin receptor signaling pathway,5/104,0.8628562827537605,0.9999951623506846,0,0,0.667756911502444,0.0984989081694222,MAPK10;CD209;ITPR1;LSP1;CALM1
KEGG_2021_Human,Fc epsilon RI signaling pathway,3/68,0.8649339061173408,0.9999951623506846,0,0,0.6104760336023719,0.0885814058057157,MAPK10;BTK;FCER1A
KEGG_2021_Human,Cholesterol metabolism,2/50,0.874872973719857,0.9999951623506846,0,0,0.5512363290537328,0.0736873850648753,CD36;ABCB11
KEGG_2021_Human,Vibrio cholerae infection,2/50,0.874872973719857,0.9999951623506846,0,0,0.5512363290537328,0.0736873850648753,ADCY9;PRKACB
KEGG_2021_Human,Central carbon metabolism in cancer,3/70,0.8775779142169824,0.9999951623506846,0,0,0.5921889481926556,0.0773336802372763,KIT;FGFR2;FGFR1
KEGG_2021_Human,Th17 cell differentiation,5/107,0.8785425626350801,0.9999951623506846,0,0,0.6480118852401575,0.0839116573381607,MAPK10;IRF4;IL6ST;IL6R;RXRG
KEGG_2021_Human,Citrate cycle (TCA cycle),1/30,0.8875453313800873,0.9999951623506846,0,0,0.4563374050679578,0.0544390816519461,PCK1
KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,1/30,0.8875453313800873,0.9999951623506846,0,0,0.4563374050679578,0.0544390816519461,ACAT1
KEGG_2021_Human,HIF-1 signaling pathway,5/109,0.8881289544206137,0.9999951623506846,0,0,0.6354813878044757,0.0753924490643842,TF;ANGPT1;PRKCB;BCL2;IL6R
KEGG_2021_Human,Non-small cell lung cancer,3/72,0.8891592574049456,0.9999951623506846,0,0,0.5749619836762561,0.0675459113450263,PRKCB;KIF5A;RXRG
