Gene,t_stat,p_value,log2FC,p_adj,group
ASB4,2.463566443966951,0.018068768827021478,0.4133266376693936,0.0445813067160846,NS
EVPLL,-2.4367842191959492,0.018069937929300565,-0.1934409929935815,0.0445813067160846,NS
APCDD1L,-2.4220616285343106,0.018084452828873464,-0.19453706086904832,0.04461259442913985,NS
GRAP,2.4204894959453553,0.0180996012159408,0.4759531560287771,0.0446454383935876,NS
IL27RA,2.4194327297775167,0.018164642991017377,0.39502280805560197,0.04479679284854063,NS
KIAA2013,-2.419943157866512,0.01816304756566649,-0.20176982062949556,0.04479679284854063,NS
SAGE1,2.467453369998752,0.018169548659575773,0.05303999828979571,0.04480435061094701,NS
SAE1,2.4280203635393334,0.018181423235285,0.2594874859177443,0.044829089752167754,NS
NEK4,2.4204420778491977,0.01818450729912865,0.3035925184216257,0.04483016109204636,NS
LOC100506124,-2.4191183809527335,0.01818554200775319,-0.3903554513841847,0.04483016109204636,NS
CASC17,2.4432896291209794,0.018213737855925415,0.03268313498280837,0.04489512047622819,NS
LINC01352,-2.4538648103427576,0.018223409969181273,-0.15501891661945283,0.04491441209337608,NS
DEF8,2.4265406213471805,0.0182838468180406,0.21168949712755225,0.045058804674818834,NS
RPS27,2.4157301468573125,0.01831023895607007,0.4629489975921146,0.045119276552746175,NS
CDC42BPB,-2.415111769289195,0.018325518686524232,-0.2604836754971842,0.045152356257492525,NS
CGGBP1,-2.415372196996782,0.0183285972973752,-0.21745801481598015,0.04515536989561884,NS
HLA-B,-2.4173895336885862,0.0183307793302007,-0.31638979419228086,0.04515617428684727,NS
TMEM88B,2.453236100384552,0.01833279605780104,0.06410866638376367,0.04515657134237309,NS
LINC00538,2.436028014315771,0.01833672783101067,0.10536139174311542,0.04516168489985585,NS
PRO1804,-2.4397887186403797,0.01834825359904143,-0.6714481434637924,0.045182286277018174,NS
FAM223B,-2.4201296102923773,0.018350662292983547,-0.15046290770167858,0.045182286277018174,NS
FAM223A,-2.4201296102923773,0.018350662292983547,-0.15046290770167858,0.045182286277018174,NS
RFXANK,2.41387033107033,0.018367608679422463,0.2217927853374917,0.04521943599619879,NS
GPR161,-2.4246228479381378,0.018371804266104377,-0.7395942672301152,0.0452251900283144,NS
S100A1,-2.4145421477053897,0.01838109516898324,-0.42448514966237916,0.04524348457898009,NS
EHD4,-2.4175749486251834,0.01839061872146128,-0.28435450358232917,0.04526234801835373,NS
TSPAN8,-2.41318656976076,0.01839927535601549,-0.6178480617511735,0.04527907423035625,NS
PARP1,2.4159563642975015,0.018412087573871895,0.3156455789179251,0.045306022568022894,NS
PLGRKT,-2.414809104131978,0.018419205171232234,-0.27379721446825034,0.04531895430665329,NS
TTC9B,-2.4413656195358024,0.018440876499095357,-0.3560504185414063,0.04535851733191678,NS
POLL,2.4204192630499053,0.018437377512001762,0.2035929036149322,0.04535851733191678,NS
DVL1,2.412866147183483,0.01843918837938458,0.34920029619668735,0.04535851733191678,NS
KIF12,2.411890413032255,0.018458360893604225,0.8526015341289312,0.04539693488698862,NS
MARK1,-2.41244980509105,0.0184815340634102,-0.516555841359321,0.04544832738304738,NS
CCDC169,-2.4459849650245693,0.01848299211497452,-0.8844807742603327,0.04544832738304738,NS
APOO,2.411721231141589,0.018489487908489376,0.31781150222826593,0.0454597067832893,NS
LINC00867,2.412609895511138,0.018499006758872113,0.05872794776544439,0.04547388042325299,NS
SLC16A5,-2.4162993378206647,0.01850459557164178,-0.4185344980253429,0.04547388042325299,NS
EDA2R,-2.4130433250484287,0.01850344461854605,-0.3480638087377549,0.04547388042325299,NS
DKK1,2.418812854082093,0.018497368036213203,0.9026425045703598,0.04547388042325299,NS
RPP21,2.418951218524132,0.018502977219092248,0.2167338602437976,0.04547388042325299,NS
LINC00963,2.415401763272176,0.018523002009595037,0.2858460237000413,0.04551451705427149,NS
ZNF521,-2.4102223249825663,0.018535808969463514,-0.3787008592969534,0.04554138789307058,NS
SERPINA3,-2.4128653481126405,0.01855713342346259,-0.23796509213646555,0.045589178174175814,NS
FBXO40,-2.4220141491500846,0.018567793967549526,-0.03743235728507534,0.045610609706356595,NS
HAR1A,2.424456936963998,0.01856960556256497,0.45815597070517744,0.045610609706356595,NS
SV2C,-2.4096409607528653,0.01858312487100469,-0.20823825566697773,0.045639209492458394,NS
POLR2J,2.411009226922528,0.018626086013467092,0.396826037541671,0.0457401038570873,NS
SORCS2,-2.408181745208634,0.018661376796970393,-0.24501739071506856,0.045822143651606445,NS
TGM3,2.419546433948187,0.018668218405118155,0.5470858429530897,0.04583431831183973,NS
C1QL4,2.4319669994714883,0.0186853137532767,0.05236927186211954,0.0458716630182328,NS
SNORD82,2.4297069587233207,0.018718100056408837,0.34635807191473494,0.04594288280108577,NS
SPHK1,2.407009951596739,0.01871657173621866,0.7322065702969125,0.04594288280108577,NS
ABCA1,-2.406183232699506,0.01872606455629574,-0.6315591817754962,0.045957796192215926,NS
ZNF813,-2.4075772458630094,0.01873255494050138,-0.3202827041483931,0.04596908914309182,NS
TBC1D2,2.40618248704267,0.018743542161622693,0.3995876857682541,0.045991413797665845,NS
ANKRD30BP2,2.407160927703898,0.018758444122358133,0.9349989809077051,0.04602333865931117,NS
NKAP,2.407535833414348,0.018769743903742954,0.3883462485207314,0.046046420125150055,NS
TATDN3,-2.4059501087687716,0.01879820787349205,-0.19925575988977506,0.046111600323485796,NS
RBM5,-2.404908556968101,0.018847738932304705,-0.3642709041620682,0.0462239375252262,NS
FAM188A,-2.404633590739125,0.018847802928288117,-0.22185098819328974,0.0462239375252262,NS
MTRNR2L1,-2.408787271811705,0.018859850142009457,-1.5874053191448025,0.04624882235549599,Down
TGFBR2,-2.4117745962125836,0.018889818467782794,-0.4639915392420324,0.04631764455737653,NS
LOC613038,-2.4053671132855237,0.018898173013060203,-0.15807892424007247,0.04632879404108321,NS
LOC388242,-2.4053671132855237,0.018898173013060203,-0.15807892424007247,0.04632879404108321,NS
MORN5,-2.4646536453276364,0.018903195831168295,-1.8015603914033753,0.046331772962766804,Down
STX17,-2.4067632354627335,0.01890226095170794,-0.33810830377575485,0.046331772962766804,NS
KLK13,-2.4042908260037907,0.018905132922602073,-0.28698037220928535,0.046331854461676134,NS
CCL3L1,2.4165144603180537,0.018912928589197898,2.146871520822004,0.04634629243245595,Up
TRNT1,2.402102486615789,0.01892179944109363,0.25659372988545215,0.04636336198131842,NS
PELP1,2.402895182330738,0.018932402526905687,0.2803655569083956,0.046384672092497414,NS
AMPD3,2.4050948126835414,0.01894433957179192,0.4315778470122198,0.04640924580422068,NS
WDR76,2.4013024096880122,0.018957904647664735,0.3794331275393463,0.04643780246658973,NS
OTULIN,2.40117515256275,0.018969468349321644,0.2838682769804066,0.04646145146428055,NS
CCDC42,-2.453802921520518,0.01898133128262959,-0.04442361796106507,0.04648582852914095,NS
DHX40,2.4113800062055986,0.01899169551109438,0.1855564803649612,0.04650653068605281,NS
WHAMMP2,-2.4051472305792534,0.018994174118883225,-0.36003749679772934,0.04650792045046203,NS
C1orf174,2.4004223735503984,0.019000965037515104,0.2011125646112708,0.046519867721626515,NS
MLLT11,-2.4065484813799007,0.01900511109992664,-0.5671527460304779,0.04652533786619201,NS
DLD,-2.3999933610332933,0.019021393336392522,-0.2501954396709598,0.04656051380350517,NS
TERT,2.4023736173069117,0.019024049830709443,0.4259233720517588,0.046562332965920245,NS
PART1,-2.4151268170790727,0.019028286774102735,-0.347214226974448,0.04656333704721611,NS
KRT9,-2.402487326005369,0.019027935066727175,-0.091212576574005,0.04656333704721611,NS
MEIKIN,2.4197745114499205,0.01903426078550365,0.09772997873156733,0.046573272720291256,NS
KRTAP5-5,2.416604319558162,0.01905513527026259,0.6351273222631217,0.04661966139912641,NS
MESP2,-2.402361227400268,0.019060387133644868,-0.3060539239935929,0.04662782280703473,NS
AACSP1,2.4308650806144256,0.01906933172021308,0.06439281597103463,0.046645015252096245,NS
FADS1,2.399783756669139,0.019076136592013966,0.8405762566887605,0.04665697086464843,NS
SP110,-2.4026362421115333,0.01910398095864777,-0.2685710996471182,0.04672037791273762,NS
SH2B2,2.404570742067536,0.019115332206662176,0.2610763218014662,0.046743440974812166,NS
DYNLRB1,2.398344594167321,0.019121325532733487,0.48377132642369336,0.04675339879077686,NS
UBASH3A,-2.403467698589488,0.019124068960800673,-0.33540888796954726,0.046755409104887,NS
