Gene,t_stat,p_value,log2FC,p_adj
TMEM35,-7.285866898242516,4.686061188413255e-09,-2.541993134570564,9.020419709769653e-08
SLC51B,-8.52424269710726,2.0741188716269305e-12,-2.5403745265753668,1.4258688378506493e-10
GPM6A,-7.236529342384344,1.3674219821243892e-08,-2.534810006519051,2.237694152295404e-07
TPM2,-3.1940694272604184,0.0024733719258664033,-2.533253793841583,0.008023457636348279
KRT20,-6.620628714261368,5.802459347683894e-09,-2.5283916260751447,1.0746472654888527e-07
MAOB,-8.248363473012876,1.1011043688518446e-11,-2.5261523294160453,5.47985192645777e-10
SYNC,-9.775734637517782,2.0655826831641046e-13,-2.524758663096985,2.0743064699205654e-11
BEST2,-7.30916163768105,4.90861898167622e-10,-2.5129996865841937,1.3406975481265153e-08
MAL,-9.870013021049518,2.4173894466613063e-13,-2.5129727551493746,2.391446730648356e-11
CFD,-8.545082689384634,1.8675701173868703e-12,-2.5039456766547907,1.313560299905401e-10
TNXB,-10.48623258562583,9.839708748010375e-14,-2.4951312911790358,1.2093896570281843e-11
CCL23,-6.99728941979535,9.494187372128216e-09,-2.4943072461132476,1.6236861833317798e-07
RGMA,-8.088408365966556,5.954094503604293e-11,-2.4934013367563126,2.2155786519833958e-09
LIFR,-9.478544540874854,1.0675453456647542e-13,-2.490418716139706,1.2430518436410267e-11
PCOLCE2,-7.175021665055448,1.3812346835444594e-09,-2.4856932366750213,3.180106646995077e-08
WSCD1,-10.026200721629719,6.85862662979547e-15,-2.483096211943582,1.4770932536522352e-12
KRT24,-8.304028549135992,3.6928046050680216e-10,-2.4766178636092655,1.0523195886292197e-08
PPP1R12B,-6.915619740887826,3.837305317972847e-09,-2.4747054973780367,7.610811916722673e-08
GPT,-8.792808958507592,6.039528793563932e-13,-2.4738143206603525,5.121183718472886e-11
EPHA7,-5.932274727247442,7.8877409614599e-07,-2.468972201220264,7.332319572290538e-06
AOC3,-6.693971235290867,6.678270822686477e-09,-2.4674855067491808,1.2047620366263758e-07
ADCY5,-12.225885789188567,2.846407659980388e-18,-2.459603485694223,4.3293860508301695e-15
MYOM1,-9.42226625921309,8.892715311927083e-12,-2.4538041850183356,4.604534464490585e-10
CALB2,-5.996486882584181,1.414911599538783e-07,-2.443964589813369,1.6747708505046607e-06
JPH2,-6.172940641525878,1.8043313946819673e-07,-2.413773069879822,2.0533657494401347e-06
ADH1C,-7.470959354980074,1.757930314230975e-10,-2.4133316900410655,5.572937534752716e-09
MEP1B,-6.726937551941062,1.0829845872031588e-08,-2.4045178553660613,1.8327894933363054e-07
PDE9A,-8.681930614815878,1.0681353586712567e-12,-2.403267139598583,8.412343718001198e-11
FGL2,-11.401724297108125,1.2137780385717358e-17,-2.3928443103203207,1.2005863337159511e-14
IGFBP6,-8.742419896217237,1.6464018892949016e-12,-2.388569962261832,1.1956225042950993e-10
USP2,-11.017609281714735,6.427939607116155e-17,-2.3834659193437524,3.7245318637804464e-14
NEXN,-5.605078156416874,8.557373792369346e-07,-2.3818889633572056,7.864510899210739e-06
PSD,-4.174986732460237,0.00013238200260220023,-2.380030690298625,0.0006248348361767154
CFL2,-5.7805389793580915,4.288424351331592e-07,-2.3726352512286217,4.33761824663365e-06
RERGL,-10.764552470189473,8.936652904912729e-14,-2.368678513496156,1.1302858167938012e-11
NPTX1,-5.719802567063692,1.4046550149996697e-06,-2.3652270784257263,1.2044990995430572e-05
NRXN1,-8.408893514547211,6.47899804366258e-10,-2.363207858836761,1.697232469220372e-08
SNCG,-6.2229535419822595,6.637725623236951e-08,-2.362388648717074,8.684714557370669e-07
MT1M,-8.118084310820628,1.1234902921972564e-11,-2.3610889877292225,5.568484674320251e-10
DHRS9,-6.404248795130408,1.4275600147929407e-08,-2.3579991118551504,2.3129893821571907e-07
TNS1,-5.71290582373144,3.324030921140357e-07,-2.344745806688671,3.46736461623968e-06
CHP2,-7.791992857386724,4.413344404194354e-11,-2.3413938176883704,1.7351074219785752e-09
LDHD,-9.253656904259952,9.76838228098191e-14,-2.3381216011435804,1.2067175187308412e-11
MYOCD,-6.3531331953621315,7.166261217018278e-08,-2.3371131768391065,9.271564751587283e-07
FABP1,-5.409023530832519,8.448075940507498e-07,-2.3320253575068595,7.778750514119958e-06
LGI4,-9.905283584953594,3.7027708569603495e-14,-2.3299321156266433,5.528259605827427e-12
HRASLS2,-5.80687478889061,3.228624376839258e-07,-2.32590194277803,3.3779794855872824e-06
HRCT1,-9.614469043156834,2.01858605388337e-14,-2.3223600911244615,3.3878834625728063e-12
PRKG2,-13.762612772210547,6.2143904633183075e-19,-2.3103133564920633,1.5123340631531432e-15
MBNL1-AS1,-8.106764813741854,3.9488778824902294e-10,-2.2972726054170627,1.114847936755014e-08
EDN3,-8.118105946860886,1.067883482038086e-11,-2.2897463160576685,5.336347519276973e-10
UGT1A10,-8.040276854658103,1.4127544384943852e-11,-2.28873621395069,6.754576034420306e-10
NXPE4,-6.6116103107664275,6.077304520965959e-09,-2.2851275506004223,1.1204339607744514e-07
AQP8,-9.164641211194702,1.1677988423585616e-13,-2.2821073397407874,1.3468982287980074e-11
POPDC2,-4.035163900358109,0.0002470349314556262,-2.2793788575024,0.0010780309878261503
FXYD6,-6.9490637152292365,5.17336314597513e-09,-2.278782421172458,9.812857795826249e-08
UCHL1,-7.3200153087527156,3.5642395758164805e-10,-2.271634453048522,1.0180673041909609e-08
MFAP4,-8.85612057811678,4.5065002054111276e-13,-2.269413251582474,4.169969163455711e-11
FER1L6,-7.003134344611291,1.4935424758220266e-09,-2.2671737107676124,3.393730129935092e-08
MRGPRF,-6.365475868291056,4.16705854673252e-08,-2.2661487405074037,5.821442984689014e-07
MS4A1,-4.707254770910807,1.894309552926651e-05,-2.265471242139066,0.00011476205446856603
NEGR1,-8.16611038196194,4.8430769830912954e-11,-2.265368744425471,1.8767694500081173e-09
RNF152,-7.704373218318179,8.897669276126047e-11,-2.2646368601891993,3.088925527871662e-09
HHLA2,-8.602157975639374,1.3332904973743217e-12,-2.258614057417442,1.0076694889472513e-10
SPEG,-5.515072148022842,2.267369465144697e-06,-2.257379836799612,1.815088924465834e-05
RBPMS2,-6.555276646686893,6.931356880054678e-08,-2.2563452306055876,9.01076394407108e-07
PRKAR2B,-7.232103586567798,5.749280933909284e-10,-2.2551708455900874,1.536361741509994e-08
ADAMTSL3,-8.316001435264615,8.739196941521523e-11,-2.2550397848424266,3.050698791719276e-09
LGALS9C,-6.345789958167094,2.2840849697033567e-08,-2.2534304541590084,3.478682466876337e-07
GAP43,-8.205851961507113,4.899916380091871e-10,-2.251103305754216,1.3406975481265153e-08
DNASE1L3,-8.517343814958371,1.894443360411307e-12,-2.244048607898277,1.317233531970559e-10
ABI3BP,-10.031402731138648,3.068826535309167e-15,-2.2380088484249625,8.391344108234145e-13
TMEM236,-8.11060936345328,1.575868821919361e-11,-2.23602272436228,7.417861441050206e-10
PCSK2,-9.972130056467158,1.2524187563425771e-11,-2.2295283958173022,6.14493202708729e-10
CLDN23,-7.208271410822751,7.700281141676293e-10,-2.2293730401519287,1.9520212694149403e-08
ASPG,-4.872659451753465,1.1705397351032346e-05,-2.223971161785932,7.502305765992183e-05
SCIN,-8.031949810484903,1.4980505546118137e-11,-2.22050754904095,7.120421542389277e-10
LINC01082,-8.603999345179123,2.2257634836088657e-12,-2.21125405006008,1.5045127979061334e-10
CKB,-6.735129035112218,3.672073757851545e-09,-2.210574465497416,7.324884177956985e-08
SPARCL1,-6.360415588859004,2.4189941148274062e-08,-2.205533802599322,3.656437315431041e-07
DMD,-5.748757067640838,3.538954662677731e-07,-2.2020950071032197,3.674232110534354e-06
TRPV3,-9.073183419996232,1.2927770676855465e-11,-2.199480576667575,6.254676484929516e-10
NCAM1,-7.508254994775823,1.0950023754635185e-09,-2.199099148598032,2.6099880322507527e-08
PCP4L1,-4.37516894127094,7.905483754555271e-05,-2.1960711513870055,0.00039939350768290863
AQP7,-8.356321117652165,6.130373134486965e-12,-2.1930019446340463,3.4534435324276566e-10
MYOT,-9.151770612874662,2.003971709220539e-11,-2.1918330305215847,9.098629760371463e-10
PYGM,-6.262333606636711,2.4835802120268556e-07,-2.191320245324981,2.706690910877096e-06
TUSC5,-3.9010776940691394,0.00042232258972964114,-2.184595251505482,0.0017192443197826274
VPREB3,-5.233321273310754,3.481757069988263e-06,-2.1844286619887785,2.6330652596405955e-05
PLCD1,-9.26868004313008,2.992158451850386e-13,-2.1820512405760866,2.9010823937940635e-11
SCN9A,-10.027449549180714,2.226670325228158e-14,-2.1779029009503414,3.661368178023814e-12
MSRB3,-5.947774802441789,1.6290240544226155e-07,-2.1773490837861913,1.8833220612080177e-06
PHGR1,-5.323381775179388,1.1748441238548894e-06,-2.167642913498181,1.037786083416791e-05
C8orf88,-5.462150551530684,2.3153508178679632e-06,-2.1624037040047073,1.8456068622219046e-05
TUBAL3,-7.533748537795204,1.286243892046401e-10,-2.15649597297341,4.26941623595285e-09
TMEM100,-10.597880994360011,8.696656477910739e-16,-2.1564467702265873,3.0672729282092133e-13
HMCN2,-8.102090386054144,2.8573145729544902e-11,-2.153811465817541,1.2248794874412657e-09
LRRC19,-7.119837697506134,7.214456272014515e-10,-2.15302143805188,1.8584143754560817e-08
DNAJB5,-4.724128636218581,2.392483024560754e-05,-2.150934838882984,0.00014046674761329436
HMP19,-6.062192110183089,1.5829493385392986e-07,-2.1502645050340776,1.8352860935060682e-06
LRRN2,-9.493889450221465,2.931718098531696e-14,-2.1464191890485407,4.5097740762644365e-12
UGT2A3,-7.726508755017792,5.3757952720966593e-11,-2.1456044907585388,2.035163754664553e-09
TPH1,-6.260240655909325,9.617453990651109e-08,-2.143873688890968,1.1971885438183397e-06
AHCYL2,-8.836682297717731,4.769837387113856e-13,-2.1389137890747696,4.331297113910552e-11
RSPO2,-7.53581466753339,4.139496000961706e-09,-2.138548757700409,8.12930766992383e-08
LEP,-3.1011742618256597,0.0034425280162737387,-2.13651702267465,0.010665482088356168
FIGF,-7.095116223630047,2.743825725987085e-08,-2.1353078467059765,4.0690885355040646e-07
SLC16A9,-6.3191009860334635,2.5129591333136995e-08,-2.1332287304175166,3.782026806946332e-07
PDLIM3,-4.867251737470932,8.897123130405414e-06,-2.1290908602916825,5.920710650848951e-05
S100B,-7.658467387130762,1.6783037805736966e-10,-2.1210604917133473,5.409695470733971e-09
GPX3,-6.2066873955493325,3.7380400947089584e-08,-2.1206138014327527,5.307406286163199e-07
NKX2-3,-8.886778807959637,1.0293515328960492e-12,-2.1203305413142384,8.13321393005138e-11
GFRA1,-8.62448648190248,6.199165564031194e-12,-2.1188998021132317,3.4681124865807616e-10
HMGCS2,-5.718934970740582,2.561593488439011e-07,-2.1180675808595764,2.7767901618998565e-06
JCHAIN,-6.335974949757368,2.3295089692135962e-08,-2.1177063217475105,3.538759692558182e-07
MMP28,-9.72104424568106,1.6736252600165073e-14,-2.1152276773122853,2.951401762881284e-12
NAP1L2,-10.73291986576285,1.889098170330829e-14,-2.1138187564476816,3.2375417657162714e-12
RNF150,-6.41446014267307,6.487057008891104e-08,-2.1110308210704365,8.528850317038028e-07
GCNT2,-10.463822683415515,3.0039848829290988e-15,-2.109801498111827,8.307383648973017e-13
CD163L1,-7.556241127406911,1.707328623816498e-10,-2.1077240464896065,5.467045972262934e-09
VSIG2,-6.65057879049913,5.547377264304755e-09,-2.104225435077619,1.0377236630658564e-07
CCL14,-5.862056706666325,1.6356377165767633e-07,-2.098537652473056,1.887381672385591e-06
CPM,-9.378578172895978,5.391787505346483e-14,-2.096194935023037,7.371603411804046e-12
TMOD1,-7.1115072996658455,4.109476140254136e-09,-2.0931805382533843,8.084738185062623e-08
SLC25A34,-8.720722011626034,2.779016568638381e-12,-2.0886847316496304,1.8057354598051588e-10
GFRA3,-8.697970106996882,6.046214645657883e-11,-2.0868501984457026,2.2464225895684007e-09
BEX1,-7.430579868237298,1.3217080658729183e-09,-2.0844681882702467,3.065350522324534e-08
CDKN2B,-8.2208701929759,1.038964911148685e-11,-2.078149864993888,5.213247438704e-10
CCDC69,-6.876503748803574,3.0241382996473846e-09,-2.0778467435580232,6.252797762125638e-08
GDPD2,-7.228411203954691,8.420173933204898e-10,-2.0728483621068863,2.0888211298519308e-08
CD79B,-5.353983813091131,1.7748339779943701e-06,-2.0719745988453138,1.4749119504440336e-05
BTNL8,-7.425370818178734,2.1278377206405898e-10,-2.066612775573475,6.596567996115846e-09
PLAC8,-5.819676863889832,1.6094521232257242e-07,-2.0665222377334995,1.8642373570119573e-06
LIMS2,-6.549036857066216,3.030329703809825e-08,-2.066461473896687,4.439861750265857e-07
ARHGEF25,-6.112450996108143,1.0808689045553299e-07,-2.066356067237618,1.326476331883939e-06
CA12,-6.600264691630814,7.477908324139446e-09,-2.0641602439246975,1.3283385180748728e-07
CXCL12,-8.56728811674809,1.8926286989821113e-12,-2.063187741763871,1.317233531970559e-10
ST6GALNAC6,-8.124155625047633,9.845169075540634e-12,-2.061539439885319,4.991500721299101e-10
AKAP12,-5.600529162287031,5.226046827106068e-07,-2.055356708157514,5.144865517170439e-06
CXCL13,-3.0474321581508614,0.0035519041983940454,-2.053410644571194,0.010955531124476234
SH2D6,-6.372489053040716,1.4597065777339103e-07,-2.0430204420923452,1.7177668895421876e-06
PI16,-8.80282530338037,1.2223699053203135e-12,-2.0414101256958492,9.413795574644035e-11
SOX10,-8.406441593581471,2.115935984561513e-10,-2.0389649768798184,6.568038025547064e-09
ALPI,-8.48786254685084,3.917986637094636e-12,-2.0387503917965644,2.383703070008377e-10
LILRB5,-7.787969959397206,5.922682249316823e-11,-2.03617364316642,2.2072648578770937e-09
CPED1,-6.296429441044738,4.65992017029314e-08,-2.0285932175194006,6.360281394517884e-07
GSTM5,-9.96334122813583,4.331288870147012e-14,-2.028312233531816,6.31175125412561e-12
