Gene,t_stat,p_value,log2FC,p_adj
HTR1D,8.63571124399782,3.270382828091434e-11,2.1637211122101117,1.367436739071669e-09
EVA1A,9.648025578728308,6.643651561505952e-14,2.154915196136505,8.739454291935613e-12
SALL4,8.85013297344356,3.8981518111184e-11,2.151879224497635,1.5628570424279632e-09
SKA3,9.899905693141967,5.300163174856091e-15,2.1500959319449313,1.205465149750447e-12
CCL3L1,2.4165144603180537,0.018912928589197898,2.146871520822004,0.04634629243245595
CXCL17,2.6966005087630562,0.009751957120249758,2.1305123324647317,0.02616578042760729
TMPRSS3,6.737701655202654,5.001990004900141e-09,2.1289627027693854,9.547327745823517e-08
RNF43,7.132583015163673,6.707115656090152e-10,2.1259096729530684,1.7457151508728336e-08
S100A7,4.092290918303953,0.00018598926901322628,2.1185229641574184,0.000843188310489172
CASC21,7.750082761358241,7.699239685049461e-10,2.113823587377756,1.9520212694149403e-08
FEZF1,4.3072546367265225,9.407779392432461e-05,2.1133381282739667,0.00046420867659009805
REEP6,7.21130816516609,1.151975526318799e-09,2.1058849684164,2.719153870852987e-08
ASPHD1,8.541566290265711,1.283150792495406e-11,2.10427152116464,6.232885765702236e-10
NPSR1,3.5365576416622164,0.0009854543289685757,2.0997795574228313,0.0035998223581175707
CCNO,9.66008193521595,1.9466146411044782e-14,2.098636838352526,3.312784189225076e-12
CDC25B,9.250650241327298,1.9620542895679063e-13,2.092604746397819,1.9978474138462163e-11
ACSL6,4.442599738175451,4.796263601328763e-05,2.090869662087643,0.00025806294716324734
SAPCD2,8.10699187398114,1.0596828620557208e-11,2.0906993990651825,5.306263812960498e-10
APLN,7.76697030631024,5.630429785797431e-11,2.0883707676748235,2.117807407529618e-09
KRT16,4.582247536077756,3.526320422166659e-05,2.085983139581816,0.00019669157413212883
NFE2L3,10.279282611818251,1.5000257648829023e-15,2.0859096414205114,4.740860651193547e-13
RHPN1,9.277017921670282,1.8397853471464067e-13,2.082725581112179,1.921588678461586e-11
CELP,3.836031611004692,0.00029642893814759444,2.0704316717989837,0.0012627892887687533
SLC7A11,7.944933201650311,6.101439009990616e-11,2.068014782550994,2.263485057120909e-09
PAH,4.58215366133997,3.4458101892701505e-05,2.063473990984141,0.00019259815518162237
COL7A1,4.980264708929088,5.743734856416026e-06,2.047187005042324,4.051016857492829e-05
FGF19,4.821620013740401,2.1182051783304564e-05,2.035896184200778,0.0001264997330548466
ARID3A,7.828793970105691,1.4179037147166862e-10,2.035423628804121,4.656694305174801e-09
IFITM1,8.389709308754252,4.214300134580435e-12,2.034365093903247,2.532326125312332e-10
EDAR,5.839793842846143,3.94976285803034e-07,2.030861532299407,4.045514684891682e-06
MAGEA3,2.8529826016856936,0.006913363497030272,2.0264930665624097,0.019447737095975536
DUSP27,2.8032210272592835,0.007568923636276718,2.026476078639768,0.0210294925918975
CELSR3,8.789409267572829,5.0798721943983005e-12,2.0197122082832446,2.936431584866438e-10
SSTR5,5.546721924494102,2.2223706121290012e-06,2.01906649717748,1.78434876993637e-05
LRP8,9.59488869566607,1.8862585022358343e-14,2.008539861121152,3.2375417657162714e-12
HILPDA,8.257379378031324,6.353129798448791e-12,2.007602500858317,3.5460955682350866e-10
CEL,4.949848485039061,5.118102898348973e-06,2.0035359045648105,3.6719974096173527e-05
IRX2,3.2955463944642798,0.002000428973140553,2.0012814533549603,0.006690824558871425
UCA1,4.343406809490683,4.758516629517542e-05,1.9905264294706142,0.0002564288323647894
AXIN2,6.482027267753558,1.5881015698517906e-08,1.990099586725627,2.54934299498108e-07
SIM2,8.584257389878543,4.602353350233934e-12,1.9892086103995488,2.7053833606592516e-10
PDX1,8.463498416605457,2.7825065640488764e-12,1.9885712315026776,1.8057354598051588e-10
TOP2A,7.370350301816787,4.0787987743984573e-10,1.9878963317881375,1.1448863549453385e-08
COL1A1,4.879277347461107,6.596003566110466e-06,1.9867881991083358,4.571926595980185e-05
NEBL,8.740492144918854,1.652653221755674e-12,1.9820127700320507,1.1956225042950993e-10
PPBP,5.574650599403211,6.222190306579273e-07,1.9818656642130945,5.9638922135058364e-06
GRM8,3.2450503643811786,0.001987864280968706,1.9802779023422135,0.006656438833119227
